Id;Label;In-Degree;Out-Degree;Degree
gr-qc/0702084;gr-qc/0702084;5;16;21
gr-qc/0507014;gr-qc/0507014;17;2;19
gr-qc/0211094;gr-qc/0211094;19;11;30
0905.4284;0905.4284;0;2;2
hep-th/9601066;hep-th/9601066;1;1;2
hep-th/0103093;hep-th/0103093;57;36;93
hep-ph/0303129;hep-ph/0303129;7;9;16
hep-ph/0109100;hep-ph/0109100;9;7;16
hep-ph/0209353;hep-ph/0209353;14;4;18
hep-th/9802108;hep-th/9802108;105;7;112
hep-th/9805168;hep-th/9805168;132;15;147
hep-ph/0010177;hep-ph/0010177;41;1;42
hep-th/9802049;hep-th/9802049;84;9;93
hep-ph/9409434;hep-ph/9409434;15;0;15
hep-th/0302142;hep-th/0302142;2;1;3
hep-th/0309140;hep-th/0309140;4;54;58
hep-th/9803249;hep-th/9803249;105;5;110
hep-th/9802109;hep-th/9802109;3382;15;3397
hep-th/9708005;hep-th/9708005;191;50;241
hep-th/9808073;hep-th/9808073;8;14;22
hep-th/9711035;hep-th/9711035;107;30;137
hep-th/0008001;hep-th/0008001;403;17;420
hep-th/9506148;hep-th/9506148;107;16;123
hep-th/0007240;hep-th/0007240;7;71;78
hep-th/9709081;hep-th/9709081;21;16;37
hep-th/9805218;hep-th/9805218;37;22;59
hep-th/9411057;hep-th/9411057;308;2;310
hep-th/9707244;hep-th/9707244;138;52;190
hep-th/0007191;hep-th/0007191;847;48;895
hep-th/9803001;hep-th/9803001;626;25;651
hep-th/9503163;hep-th/9503163;223;9;232
hep-th/9503086;hep-th/9503086;129;8;137
hep-th/9402044;hep-th/9402044;373;0;373
hep-th/9707260;hep-th/9707260;17;17;34
hep-th/9509066;hep-th/9509066;393;40;433
hep-th/9411149;hep-th/9411149;696;13;709
hep-th/9902033;hep-th/9902033;63;14;77
hep-th/9503121;hep-th/9503121;307;7;314
hep-th/9806021;hep-th/9806021;173;24;197
hep-th/9802150;hep-th/9802150;3774;31;3805
hep-th/9510101;hep-th/9510101;307;14;321
hep-th/9408013;hep-th/9408013;83;6;89
hep-th/9506084;hep-th/9506084;25;15;40
hep-th/9708122;hep-th/9708122;19;48;67
hep-th/9607207;hep-th/9607207;159;12;171
hep-th/9601007;hep-th/9601007;76;0;76
hep-th/9803135;hep-th/9803135;204;35;239
hep-th/9507018;hep-th/9507018;50;20;70
hep-th/0003136;hep-th/0003136;359;87;446
hep-th/0008142;hep-th/0008142;318;49;367
hep-th/0002222;hep-th/0002222;224;47;271
hep-th/9505006;hep-th/9505006;132;8;140
hep-th/9505004;hep-th/9505004;138;10;148
hep-th/9803076;hep-th/9803076;157;24;181
hep-th/9803131;hep-th/9803131;1151;63;1214
hep-lat/9710065;hep-lat/9710065;27;15;42
hep-th/9803137;hep-th/9803137;144;33;177
hep-th/9802183;hep-th/9802183;426;17;443
hep-th/9803015;hep-th/9803015;296;11;307
hep-th/9411048;hep-th/9411048;355;2;357
hep-th/9503179;hep-th/9503179;174;20;194
hep-th/9408074;hep-th/9408074;421;12;433
gr-qc/0012076;gr-qc/0012076;5;24;29
gr-qc/9605058;gr-qc/9605058;38;20;58
gr-qc/9405048;gr-qc/9405048;34;7;41
astro-ph/9412046;astro-ph/9412046;8;32;40
hep-th/9301058;hep-th/9301058;17;9;26
gr-qc/9811062;gr-qc/9811062;31;13;44
gr-qc/0002002;gr-qc/0002002;8;7;15
gr-qc/0003090;gr-qc/0003090;18;20;38
gr-qc/9401027;gr-qc/9401027;34;5;39
hep-th/9209055;hep-th/9209055;58;24;82
hep-th/9606134;hep-th/9606134;32;9;41
gr-qc/9910037;gr-qc/9910037;13;9;22
hep-th/9209058;hep-th/9209058;77;6;83
hep-th/9209113;hep-th/9209113;16;18;34
quant-ph/0311050;quant-ph/0311050;27;0;27
hep-th/9907043;hep-th/9907043;11;16;27
gr-qc/9906004;gr-qc/9906004;12;2;14
gr-qc/0007013;gr-qc/0007013;4;15;19
gr-qc/9305012;gr-qc/9305012;22;6;28
gr-qc/9812002;gr-qc/9812002;158;6;164
gr-qc/9906104;gr-qc/9906104;9;0;9
gr-qc/9605038;gr-qc/9605038;42;5;47
gr-qc/9903027;gr-qc/9903027;20;22;42
gr-qc/9505012;gr-qc/9505012;136;5;141
hep-th/9203059;hep-th/9203059;38;1;39
hep-th/0309142;hep-th/0309142;0;4;4
hep-th/0308155;hep-th/0308155;2;3;5
hep-th/0103046;hep-th/0103046;6;4;10
cond-mat/0304181;cond-mat/0304181;3;0;3
hep-th/0205157;hep-th/0205157;18;7;25
hep-th/0309143;hep-th/0309143;12;17;29
math/0306434;math/0306434;11;2;13
hep-th/0205234;hep-th/0205234;33;36;69
hep-th/0203237;hep-th/0203237;16;41;57
hep-th/0207114;hep-th/0207114;30;0;30
hep-th/0206163;hep-th/0206163;28;0;28
hep-th/0103100;hep-th/0103100;18;4;22
math/0306257;math/0306257;2;3;5
hep-th/9811131;hep-th/9811131;306;29;335
hep-th/0306032;hep-th/0306032;40;29;69
hep-th/9912123;hep-th/9912123;139;17;156
hep-th/0109075;hep-th/0109075;26;19;45
math/0103074;math/0103074;37;5;42
hep-th/0108064;hep-th/0108064;33;14;47
hep-th/0302076;hep-th/0302076;5;48;53
hep-th/0305132;hep-th/0305132;151;0;151
hep-th/0206164;hep-th/0206164;68;0;68
hep-th/0010102;hep-th/0010102;48;15;63
hep-th/0309144;hep-th/0309144;6;17;23
hep-ph/9909539;hep-ph/9909539;54;15;69
hep-th/9211111;hep-th/9211111;45;0;45
hep-th/9404013;hep-th/9404013;52;1;53
solv-int/9908002;solv-int/9908002;16;4;20
math/0306242;math/0306242;6;6;12
hep-th/9209054;hep-th/9209054;41;0;41
hep-th/0004065;hep-th/0004065;7;1;8
solv-int/9902015;solv-int/9902015;23;4;27
hep-th/0107193;hep-th/0107193;38;15;53
hep-th/9902147;hep-th/9902147;6;8;14
hep-ph/9805225;hep-ph/9805225;107;5;112
hep-th/9910265;hep-th/9910265;15;0;15
hep-th/0007040;hep-th/0007040;9;4;13
hep-th/0210216;hep-th/0210216;13;13;26
hep-th/9212007;hep-th/9212007;39;0;39
hep-ph/9907420;hep-ph/9907420;84;12;96
hep-th/9306089;hep-th/9306089;38;2;40
hep-th/0309145;hep-th/0309145;24;15;39
hep-th/0005005;hep-th/0005005;46;15;61
gr-qc/9709002;gr-qc/9709002;19;51;70
hep-th/0001203;hep-th/0001203;274;7;281
hep-th/0104153;hep-th/0104153;166;15;181
q-alg/9709040;q-alg/9709040;386;0;386
hep-th/0309053;hep-th/0309053;6;19;25
math/9807123;math/9807123;6;6;12
hep-th/0102129;hep-th/0102129;61;40;101
hep-th/0101219;hep-th/0101219;103;52;155
hep-ph/0305027;hep-ph/0305027;19;31;50
hep-th/0006246;hep-th/0006246;140;11;151
hep-th/9603053;hep-th/9603053;195;1;196
math/0007044;math/0007044;6;7;13
hep-th/9405107;hep-th/9405107;208;2;210
hep-th/0309146;hep-th/0309146;5;28;33
hep-th/0303015;hep-th/0303015;78;82;160
hep-th/0211059;hep-th/0211059;105;62;167
hep-th/0304079;hep-th/0304079;51;25;76
hep-th/0011269;hep-th/0011269;43;38;81
hep-th/0302105;hep-th/0302105;158;73;231
